Device Info,Time,Longitude,Latitude,IMEI,EnvT_t,EngDa_tiEngOn,GlbDa_lTotDst,FlSys_dvolFlCons,FBR_qArr_[0],FBR_qArr_[1],FBR_qArr_[2],FBR_qArr_[3],FBR_qArr_[4],FBR_qArr_[5],DIUMPR_rValRatMin_[7],AFS_dm,AirCtl_mActVal_mp,EGRVlv_rAct,Air_tCACDs,Air_pIntkVUs,PCR_pActVal_mp,CEngDsT_t,APP_rFlt_mp,Epm_nEng,VehV_v,InjCtl_qSetUnBal,TCD_tqPahSet_f,CoETS_stCurrLimActive,Rail_pSetPoint,RailP_pFlt,MeUn_iActFlt,PRV_st,CoEOM_stOpModeAct,Exh_tOxiCatUs,Exh_tPFltUs,ETCtl_dmFuOpnLop,ETCtl_st,ETCtl_dmFuStFdbk,ETCtl_tObsvrCor,DPM_rSV,HCIMon_dqAct,ETCtl_tAdpnCatDs,ETCtl_tOutrDes,PFltPOp_stEngPOp,ASMod_dmSotEngNrm2_mp,ASMod_dmSotEngNrm_mp,PFltLd_dmSotSimRgnNO2_mp,PFltLd_dmSotSimRgnThr_mp,PFltLd_dmSotSim,PFltLd_mSotSim,PFltLd_mSot,ASMod_dmEGFld_[0],EGRClg_etaCalc_mp,CAClg_etaCalcB2_mp,Exh_pFltPPFltDiff,Exh_iPPDsIDEFild,ChrSet_facDynDetnBoostP_mp,ChrSet_facPrioLamO2Wght_mp,InjCrv_phiMI1Des,Exh_tAdapTOxiCatUs,Exh_tAdapTPFltUs,HCICtl_stInjOn,ETCtl_tBrickLstMdl_mp,PFlt_tOutrDes,CoHCI_st,HCIMon_pAbsHDVDsP,HCIMon_pAbsHDVUsP,DPM_tFltHDVUsT,HCDosVlv_rPs,HCIMon_stPurgOn,HCIMon_stRgnReq,HCIMon_stSysTst,HCIPOD_tiTotOpHrs,HCIPOD_stDFCEvln,UDC_dmRdcAgAct,SCR_tUCatUsT,SCR_tUCatDsT,ASMod_dmNOxEG,Com_rNOxNoCat2Ds,Com_rNOxNoMCatDs,SCRMod_rNO2NOx,SCRMod_etaEst,SCRFBC_facNOxCtl,SCRAd_stStMAdv,UDC_mRdcAgDosQnt,SCRAd_facQtyAdap,CoSCR_st,CoSCR_stSub,SCR_pUPmpP,SCR_rUTnkLvl,SCR_tUTnkT,UDosVlv_rPs,UPmpMot_rPs,URevVlv_stPs,DFES_numDFC_[3],DFES_numDFC_[4],DFES_numDFC_[5],DFES_numDFC_[6]
RBCD025022,2017-02-23 14:23:03.0,0.0,0.0,864049025993355,5.16,845488.00,9663466.00,11.69,0.00,0.00,0.00,0.00,0.00,0.00,0.25,554.00,2631.50,-0.49,4.76,1189.00,1219.00,2.06,30.69,1205.50,0.00,52.06,548.20,0.00,1051200.00,1028000.00,1360.00,2.00,1048577.00,64.96,12.86,0.00,32.00,0.00,0.00,0.00,0.00,-21.94,13.66,1.00,0.22,0.23,0.00,0.00,0.23,3.76,3.76,634.50,0.99,-0.85,5.00,0.00,0.08,0.00,3.49,67.36,15.26,0.00,35.86,649.06,1.00,1013.00,1123.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,2.66,3.36,48.60,3076.00,3076.00,0.27,0.26,1.00,0.00,66196.00,1.00,2.00,255.00,28.00,34.39,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RBCD025022,2017-02-23 14:23:07.0,0.0,0.0,864049025993355,5.26,845493.00,9663466.00,14.40,0.00,0.00,0.00,0.00,0.00,0.00,0.25,733.25,2998.00,-0.49,4.86,1330.00,1372.00,2.36,38.24,1366.50,0.00,48.92,542.30,0.00,1159400.00,1191800.00,1346.00,2.00,1048577.00,74.56,23.26,0.00,32.00,0.00,0.00,0.00,0.00,-0.84,23.86,1.00,0.24,0.24,0.00,0.00,0.24,3.76,3.76,777.25,0.99,-3.03,5.00,0.00,0.00,0.00,5.25,76.26,25.06,0.00,55.76,645.66,1.00,1013.00,1126.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,2.86,3.86,62.40,3076.00,3076.00,0.17,0.24,1.00,0.00,66196.00,1.00,2.00,255.00,20.00,34.39,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RBCD025022,2017-02-23 14:23:11.0,0.0,0.0,864049025993355,5.26,845497.00,9663466.00,14.21,0.00,0.00,0.00,0.00,0.00,0.00,0.25,774.50,3092.50,-0.49,4.96,1367.00,1412.00,2.56,39.03,1391.00,0.00,47.30,525.50,0.00,1166600.00,1160000.00,1347.00,2.00,1048577.00,80.16,28.86,0.00,32.00,0.00,0.00,0.00,0.00,17.06,29.06,1.00,0.24,0.24,0.00,0.00,0.24,3.76,3.76,786.00,0.99,4.00,5.00,0.00,0.00,0.00,5.19,81.16,29.86,0.00,69.66,645.86,1.00,1013.00,1126.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,3.86,4.26,61.20,3076.00,3076.00,0.17,0.24,1.00,0.00,66196.00,1.00,2.00,255.00,25.00,34.39,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RBCD025022,2017-02-23 14:23:45.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00,-0.49,5.16,1007.00,1007.00,3.86,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,30800.00,1493.00,2.00,1048577.00,67.76,30.26,0.00,32.00,0.00,0.00,0.00,0.00,49.86,30.16,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.23,-3.48,0.00,0.00,0.00,0.00,0.00,67.46,30.16,0.00,80.66,644.96,1.00,1013.00,1136.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,16.76,6.06,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,6.00,10.00,24.00,34.39,2.86,100.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:23:49.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.75,0.00,-0.49,5.16,1007.00,1007.00,3.86,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,23600.00,1498.00,2.00,1048577.00,66.96,30.06,0.00,32.00,0.00,0.00,0.00,0.00,50.06,30.06,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.27,-3.00,0.00,0.00,0.00,0.00,0.00,66.56,30.06,0.00,80.56,644.96,1.00,1013.00,1136.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,16.46,6.16,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,6.00,10.00,24.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:23:53.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.25,0.00,-0.49,5.16,1007.00,1007.00,3.96,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,18600.00,1494.00,2.00,1048577.00,65.56,29.96,0.00,32.00,0.00,0.00,0.00,0.00,50.26,30.06,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.25,-2.52,0.00,0.00,0.00,0.00,0.00,65.26,29.96,0.00,80.46,644.96,1.00,1013.00,1137.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,16.06,6.16,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:23:57.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.50,0.00,-0.49,5.16,1007.00,1007.00,3.96,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,13800.00,1495.00,2.00,1048577.00,65.06,29.86,0.00,32.00,0.00,0.00,0.00,0.00,50.26,29.86,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.25,-2.22,0.00,0.00,0.00,0.00,0.00,64.76,29.86,0.00,80.46,644.96,1.00,1013.00,1139.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,15.56,6.06,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:01.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.25,0.00,-0.49,5.16,1007.00,1007.00,3.96,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,11400.00,1491.00,2.00,1048577.00,63.36,29.76,0.00,32.00,0.00,0.00,0.00,0.00,50.36,29.76,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.33,-1.96,0.00,0.00,0.00,0.00,0.00,63.16,29.86,0.00,80.36,644.96,1.00,1013.00,1143.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,15.16,5.96,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:05.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.25,0.00,-0.49,5.16,1007.00,1007.00,3.96,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,11400.00,1496.00,2.00,1048577.00,63.06,29.86,0.00,32.00,0.00,0.00,0.00,0.00,50.26,29.86,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.33,-1.74,0.00,0.00,0.00,0.00,0.00,62.56,29.86,0.00,80.26,644.96,1.00,1013.00,1148.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,14.76,5.86,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,22.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:09.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,-0.49,5.16,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1497.00,2.00,1048577.00,61.56,29.76,0.00,32.00,0.00,0.00,0.00,0.00,50.26,29.76,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.36,-1.60,0.00,0.00,0.00,0.00,0.00,61.26,29.76,0.00,80.16,644.96,1.00,1013.00,1148.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,14.26,5.86,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
